Timestamp,User ID,Activity,Details,Bytes Transferred
2025-12-08 09:12:05,ASMITH,Login Success,Authorized access from workstation,1200
2025-12-08 10:45:22,BJONES,File Upload,Uploaded Q4_Report.pdf,4500000
2025-12-08 13:30:00,MJOHNSON,Login Success,Authorized access,1500
2025-12-08 19:15:00,X_SHADOW,Login Success,After hours access detected,2500
2025-12-09 02:23:10,X_SHADOW,Data Export,Large file transfer to external IP (Cloud Storage),8500000000
2025-12-09 02:45:00,X_SHADOW,Logout,Session closed,0
2025-12-09 03:10:11,UNKNOWN,Login Failed,Invalid credentials,0
2025-12-09 03:10:15,UNKNOWN,Login Failed,Invalid credentials,0
2025-12-09 03:10:19,UNKNOWN,Login Failed,Invalid credentials,0
2025-12-09 03:10:25,UNKNOWN,Login Failed,Potential brute force attack,0
2025-12-09 04:00:00,SYSTEM,Malware Alert,Virus signature detected in temporary files,0
